project,timeing,tests,failed,error,skipped,mode
empire-db-sub-empire-db,20.45,102,0,0,6,baseTime
empire-db-sub-empire-db-codegen,20.45,11,0,0,0,baseTime
empire-db-sub-empire-db,28.44,12,0,0,1,ekstaziAEC
empire-db-sub-empire-db-codegen,28.44,5,0,0,0,ekstaziAEC
empire-db-sub-empire-db,20.28,102,0,0,6,baseTime
empire-db-sub-empire-db-codegen,20.28,11,0,0,0,baseTime
empire-db-sub-empire-db,29.31,12,0,0,1,ekstaziAEC
empire-db-sub-empire-db-codegen,29.31,5,0,0,0,ekstaziAEC
empire-db-sub-empire-db,21.19,102,0,0,6,baseTime
empire-db-sub-empire-db-codegen,21.19,11,0,0,0,baseTime
empire-db-sub-empire-db,30.77,20,0,0,1,ekstaziAEC
empire-db-sub-empire-db-codegen,30.77,5,0,0,0,ekstaziAEC
empire-db-sub-empire-db,20.29,102,0,0,6,baseTime
empire-db-sub-empire-db-codegen,20.29,11,0,0,0,baseTime
empire-db-surefireNotFound,22.38,0,0,0,0,ekstaziAEC
empire-db-sub-empire-db,18.97,102,0,0,6,baseTime
empire-db-sub-empire-db-codegen,18.97,11,0,0,0,baseTime
empire-db-surefireNotFound,22.48,0,0,0,0,ekstaziAEC
empire-db-sub-empire-db,20.44,102,0,0,6,baseTime
empire-db-sub-empire-db-codegen,20.44,11,0,0,0,baseTime
empire-db-surefireNotFound,24.27,0,0,0,0,ekstaziAEC
empire-db-sub-empire-db,20.26,102,0,0,6,baseTime
empire-db-sub-empire-db-codegen,20.26,11,0,0,0,baseTime
empire-db-surefireNotFound,24.61,0,0,0,0,ekstaziAEC
empire-db-sub-empire-db,21.09,102,0,0,6,baseTime
empire-db-sub-empire-db-codegen,21.09,11,0,0,0,baseTime
empire-db-surefireNotFound,24.98,0,0,0,0,ekstaziAEC
empire-db-sub-empire-db,21.07,102,0,0,6,baseTime
empire-db-sub-empire-db-codegen,21.07,11,0,0,0,baseTime
empire-db-sub-empire-db,28.66,10,0,0,1,ekstaziAEC
empire-db-sub-empire-db-codegen,28.66,5,0,0,0,ekstaziAEC
empire-db-sub-empire-db,19.4,102,0,0,6,baseTime
empire-db-sub-empire-db-codegen,19.4,11,0,0,0,baseTime
empire-db-surefireNotFound,23.29,0,0,0,0,ekstaziAEC
empire-db-sub-empire-db,19.08,102,0,0,6,baseTime
empire-db-sub-empire-db-codegen,19.08,11,0,0,0,baseTime
empire-db-surefireNotFound,22.27,0,0,0,0,ekstaziAEC
empire-db-sub-empire-db,19.15,102,0,0,6,baseTime
empire-db-sub-empire-db-codegen,19.15,11,0,0,0,baseTime
empire-db-sub-empire-db,25.39,7,0,0,1,ekstaziAEC
empire-db-sub-empire-db,19.39,102,0,0,6,baseTime
empire-db-sub-empire-db-codegen,19.39,11,0,0,0,baseTime
empire-db-surefireNotFound,22.46,0,0,0,0,ekstaziAEC
empire-db-sub-empire-db,20.97,102,0,0,6,baseTime
empire-db-sub-empire-db-codegen,20.97,11,0,0,0,baseTime
empire-db-surefireNotFound,23.29,0,0,0,0,ekstaziAEC
empire-db-sub-empire-db,19.64,102,0,0,6,baseTime
empire-db-sub-empire-db-codegen,19.64,11,0,0,0,baseTime
